,Total Return,Annual Return,Volatility,Sharpe Ratio,Max Drawdown,Calmar Ratio,Sortino Ratio,Win Rate,Avg Turnover
Pure Momentum,1.1111013121394357,0.0,0.0,0.8051335849951926,-0.250853388475363,0.6436507808160008,1.1143380029080314,0.44038155802861684,0.5657031277103218
SVM Regime Adaptive,1.0514997185999655,0.0,0.0,0.7823504519058845,-0.26747017735678724,0.578823166959488,1.1612572618109849,0.4753577106518283,0.4688251770445827
Pure Inverse Vol,1.1179082475772595,0.0,0.0,0.5281807551662657,-0.46036104737698946,0.3523564784662121,0.5992386649647218,0.4872813990461049,0.2037328418145862
Equal Weight,2.8440393972158273,0.0,0.0,0.4325182729063244,-0.46593775813429117,0.6644977673756881,0.6896291630612901,0.4435612082670906,0.1601182169821673
Pure Mean Reversion,-0.1327764277774326,0.0,0.0,-0.013396525611351658,-0.7718595285660039,-0.03644919179505983,-0.02473981192204093,0.424483306836248,0.5564225560080145
