date,strategy,return
2015-12-01,Bandit Meta-Strategy (UCB),0.0
2015-12-02,Bandit Meta-Strategy (UCB),0.0
2015-12-03,Bandit Meta-Strategy (UCB),0.0
2015-12-04,Bandit Meta-Strategy (UCB),0.0
2015-12-07,Bandit Meta-Strategy (UCB),0.0
2015-12-08,Bandit Meta-Strategy (UCB),0.0
2015-12-09,Bandit Meta-Strategy (UCB),0.0
2015-12-10,Bandit Meta-Strategy (UCB),0.0
2015-12-11,Bandit Meta-Strategy (UCB),0.0
2015-12-14,Bandit Meta-Strategy (UCB),0.0
2015-12-15,Bandit Meta-Strategy (UCB),0.0
2015-12-16,Bandit Meta-Strategy (UCB),0.0
2015-12-17,Bandit Meta-Strategy (UCB),0.0
2015-12-18,Bandit Meta-Strategy (UCB),0.0
2015-12-21,Bandit Meta-Strategy (UCB),0.0
2015-12-22,Bandit Meta-Strategy (UCB),0.0
2015-12-23,Bandit Meta-Strategy (UCB),0.0
2015-12-24,Bandit Meta-Strategy (UCB),0.0
2015-12-28,Bandit Meta-Strategy (UCB),0.0
2015-12-29,Bandit Meta-Strategy (UCB),0.0
2015-12-30,Bandit Meta-Strategy (UCB),0.0
2015-12-31,Bandit Meta-Strategy (UCB),-0.0010999999999998789
2016-01-04,Bandit Meta-Strategy (UCB),-0.017442343553885298
2016-01-05,Bandit Meta-Strategy (UCB),0.004310998894768714
2016-01-06,Bandit Meta-Strategy (UCB),-0.0005294944914322475
2016-01-07,Bandit Meta-Strategy (UCB),-0.01323224415767621
2016-01-08,Bandit Meta-Strategy (UCB),-0.015812311563351167
2016-01-11,Bandit Meta-Strategy (UCB),0.006459326319641301
2016-01-12,Bandit Meta-Strategy (UCB),0.0060382457047758464
2016-01-13,Bandit Meta-Strategy (UCB),-0.029173417749159714
2016-01-14,Bandit Meta-Strategy (UCB),0.014660422124951333
2016-01-15,Bandit Meta-Strategy (UCB),-0.021831586791680957
2016-01-19,Bandit Meta-Strategy (UCB),0.005497775028513452
2016-01-20,Bandit Meta-Strategy (UCB),-0.016455905552318906
2016-01-21,Bandit Meta-Strategy (UCB),0.004362689939638065
2016-01-22,Bandit Meta-Strategy (UCB),0.016821123224089574
2016-01-25,Bandit Meta-Strategy (UCB),-0.00823240939710368
2016-01-26,Bandit Meta-Strategy (UCB),0.010517373663230911
2016-01-27,Bandit Meta-Strategy (UCB),-0.014279587443798869
2016-01-28,Bandit Meta-Strategy (UCB),0.013278195811055937
2016-01-29,Bandit Meta-Strategy (UCB),0.019758103720250997
2016-02-01,Bandit Meta-Strategy (UCB),0.002942659643644596
2016-02-02,Bandit Meta-Strategy (UCB),-0.017829484669850792
2016-02-03,Bandit Meta-Strategy (UCB),-0.0022916285713240336
2016-02-04,Bandit Meta-Strategy (UCB),-0.002910453093826648
2016-02-05,Bandit Meta-Strategy (UCB),-0.020215828775776545
2016-02-08,Bandit Meta-Strategy (UCB),-0.010148786376368957
2016-02-09,Bandit Meta-Strategy (UCB),0.0008292236295530664
2016-02-10,Bandit Meta-Strategy (UCB),-0.0005947600128125563
2016-02-11,Bandit Meta-Strategy (UCB),-0.0065237798295945115
2016-02-12,Bandit Meta-Strategy (UCB),0.014951619175981312
2016-02-16,Bandit Meta-Strategy (UCB),0.011171126459556868
2016-02-17,Bandit Meta-Strategy (UCB),0.015961483813250466
2016-02-18,Bandit Meta-Strategy (UCB),-0.009196854444787683
2016-02-19,Bandit Meta-Strategy (UCB),0.00295152510488661
2016-02-22,Bandit Meta-Strategy (UCB),0.01648369485274359
2016-02-23,Bandit Meta-Strategy (UCB),-0.005658429928715236
2016-02-24,Bandit Meta-Strategy (UCB),0.006928118341755551
2016-02-25,Bandit Meta-Strategy (UCB),0.013442297803654357
2016-02-26,Bandit Meta-Strategy (UCB),-0.008440455140145242
2016-02-29,Bandit Meta-Strategy (UCB),-0.008656214978285615
2016-03-01,Bandit Meta-Strategy (UCB),0.01938859021801953
2016-03-02,Bandit Meta-Strategy (UCB),0.0020350607884540572
2016-03-03,Bandit Meta-Strategy (UCB),0.001175341841685995
2016-03-04,Bandit Meta-Strategy (UCB),0.004726749312570222
2016-03-07,Bandit Meta-Strategy (UCB),-0.0013380732151072605
2016-03-08,Bandit Meta-Strategy (UCB),-0.005451374794642416
2016-03-09,Bandit Meta-Strategy (UCB),0.0036363734166298123
2016-03-10,Bandit Meta-Strategy (UCB),-0.0025576853801134725
2016-03-11,Bandit Meta-Strategy (UCB),0.008449424617058332
2016-03-14,Bandit Meta-Strategy (UCB),0.00205927720393273
2016-03-15,Bandit Meta-Strategy (UCB),0.0028346078548615594
2016-03-16,Bandit Meta-Strategy (UCB),0.0025829373841510517
2016-03-17,Bandit Meta-Strategy (UCB),0.002956059123447652
2016-03-18,Bandit Meta-Strategy (UCB),0.0037050024761178246
2016-03-21,Bandit Meta-Strategy (UCB),0.0056848496310411
2016-03-22,Bandit Meta-Strategy (UCB),-0.0016339276982849649
2016-03-23,Bandit Meta-Strategy (UCB),-0.0030691344270968868
2016-03-24,Bandit Meta-Strategy (UCB),0.002627368026074217
2016-03-28,Bandit Meta-Strategy (UCB),0.0025653077095224575
2016-03-29,Bandit Meta-Strategy (UCB),0.00871670414682435
2016-03-30,Bandit Meta-Strategy (UCB),0.0031556636989482634
2016-03-31,Bandit Meta-Strategy (UCB),-0.00025875693630905694
2016-04-01,Bandit Meta-Strategy (UCB),0.011017597956942682
2016-04-04,Bandit Meta-Strategy (UCB),0.0005473906543276286
2016-04-05,Bandit Meta-Strategy (UCB),-0.0020315576616962705
2016-04-06,Bandit Meta-Strategy (UCB),0.012957888481729851
2016-04-07,Bandit Meta-Strategy (UCB),-0.010363415687015265
2016-04-08,Bandit Meta-Strategy (UCB),-0.0003226576382466817
2016-04-11,Bandit Meta-Strategy (UCB),-0.005663756269610687
2016-04-12,Bandit Meta-Strategy (UCB),0.010754939878824477
2016-04-13,Bandit Meta-Strategy (UCB),0.009837732529779375
2016-04-14,Bandit Meta-Strategy (UCB),0.001055427588626534
2016-04-15,Bandit Meta-Strategy (UCB),0.0015695656894225696
2016-04-18,Bandit Meta-Strategy (UCB),0.004721034815629244
2016-04-19,Bandit Meta-Strategy (UCB),-0.00651746935133557
2016-04-20,Bandit Meta-Strategy (UCB),-0.0022566645970618637
2016-04-21,Bandit Meta-Strategy (UCB),-0.005788021569209767
2016-04-22,Bandit Meta-Strategy (UCB),0.0007750404948223544
2016-04-25,Bandit Meta-Strategy (UCB),0.0006505150266640225
2016-04-26,Bandit Meta-Strategy (UCB),-0.00445324147594095
2016-04-27,Bandit Meta-Strategy (UCB),-0.000123315469227947
2016-04-28,Bandit Meta-Strategy (UCB),-0.007171677385496067
2016-04-29,Bandit Meta-Strategy (UCB),-0.00425557993334158
2016-05-02,Bandit Meta-Strategy (UCB),0.010631138763667058
2016-05-03,Bandit Meta-Strategy (UCB),-0.00541199580826679
2016-05-04,Bandit Meta-Strategy (UCB),-0.0039464713892197745
2016-05-05,Bandit Meta-Strategy (UCB),-0.001438604595280224
2016-05-06,Bandit Meta-Strategy (UCB),0.008295107066587537
2016-05-09,Bandit Meta-Strategy (UCB),0.002046068111480004
2016-05-10,Bandit Meta-Strategy (UCB),0.009568162866146146
2016-05-11,Bandit Meta-Strategy (UCB),-0.014304662106562893
2016-05-12,Bandit Meta-Strategy (UCB),0.000409246626486226
2016-05-13,Bandit Meta-Strategy (UCB),-0.0013706193485955032
2016-05-16,Bandit Meta-Strategy (UCB),0.010353122711204366
2016-05-17,Bandit Meta-Strategy (UCB),-0.010196509394259978
2016-05-18,Bandit Meta-Strategy (UCB),0.0004799671522441873
2016-05-19,Bandit Meta-Strategy (UCB),0.013378464577146199
2016-05-20,Bandit Meta-Strategy (UCB),0.006483022406211791
2016-05-23,Bandit Meta-Strategy (UCB),-0.0015005572409927392
2016-05-24,Bandit Meta-Strategy (UCB),0.012736585325542782
2016-05-25,Bandit Meta-Strategy (UCB),0.0055983320601959985
2016-05-26,Bandit Meta-Strategy (UCB),0.0041414919497893
2016-05-27,Bandit Meta-Strategy (UCB),0.002647931884038446
2016-05-31,Bandit Meta-Strategy (UCB),-0.0012980561076934016
2016-06-01,Bandit Meta-Strategy (UCB),-0.0006339520204367011
2016-06-02,Bandit Meta-Strategy (UCB),0.0028098342492020034
2016-06-03,Bandit Meta-Strategy (UCB),-0.003766111063472355
2016-06-06,Bandit Meta-Strategy (UCB),0.0045342186926518036
2016-06-07,Bandit Meta-Strategy (UCB),0.0009774648925102714
2016-06-08,Bandit Meta-Strategy (UCB),0.003027740932108003
2016-06-09,Bandit Meta-Strategy (UCB),0.0010208583250137515
2016-06-10,Bandit Meta-Strategy (UCB),-0.008045359310940192
2016-06-13,Bandit Meta-Strategy (UCB),-0.00726074838905999
2016-06-14,Bandit Meta-Strategy (UCB),0.001327107887066692
2016-06-15,Bandit Meta-Strategy (UCB),-0.0006111174621443727
2016-06-16,Bandit Meta-Strategy (UCB),0.004036801705461501
2016-06-17,Bandit Meta-Strategy (UCB),-0.009561744657940463
2016-06-20,Bandit Meta-Strategy (UCB),0.005331317131574531
2016-06-21,Bandit Meta-Strategy (UCB),0.001648754380025208
2016-06-22,Bandit Meta-Strategy (UCB),-0.005375608334045712
2016-06-23,Bandit Meta-Strategy (UCB),0.00967396507521645
2016-06-24,Bandit Meta-Strategy (UCB),-0.02626696612124313
2016-06-27,Bandit Meta-Strategy (UCB),-0.010259078336809169
2016-06-28,Bandit Meta-Strategy (UCB),0.016170247503028312
2016-06-29,Bandit Meta-Strategy (UCB),0.015641462132355288
2016-06-30,Bandit Meta-Strategy (UCB),-0.00028689117111835305
2016-07-01,Bandit Meta-Strategy (UCB),0.004540341528838532
2016-07-05,Bandit Meta-Strategy (UCB),0.0019956878049582905
2016-07-06,Bandit Meta-Strategy (UCB),0.0016189728347157928
2016-07-07,Bandit Meta-Strategy (UCB),0.000843583979660556
2016-07-08,Bandit Meta-Strategy (UCB),0.011674332112558083
2016-07-11,Bandit Meta-Strategy (UCB),0.003933210160935285
2016-07-12,Bandit Meta-Strategy (UCB),0.0040054282741668334
2016-07-13,Bandit Meta-Strategy (UCB),0.0001835298191357193
2016-07-14,Bandit Meta-Strategy (UCB),0.006093188828200757
2016-07-15,Bandit Meta-Strategy (UCB),-0.0018130028025846734
2016-07-18,Bandit Meta-Strategy (UCB),0.004697679384622067
2016-07-19,Bandit Meta-Strategy (UCB),-0.004597841091354082
2016-07-20,Bandit Meta-Strategy (UCB),0.004040060342960894
2016-07-21,Bandit Meta-Strategy (UCB),-0.005770360718280743
2016-07-22,Bandit Meta-Strategy (UCB),0.005124304654226419
2016-07-25,Bandit Meta-Strategy (UCB),0.0008214221014315459
2016-07-26,Bandit Meta-Strategy (UCB),0.0016148296157674213
2016-07-27,Bandit Meta-Strategy (UCB),-0.0037585399806875364
2016-07-28,Bandit Meta-Strategy (UCB),0.0024367345553024666
2016-07-29,Bandit Meta-Strategy (UCB),0.0025338427503305283
2016-08-01,Bandit Meta-Strategy (UCB),0.0021785215319329865
2016-08-02,Bandit Meta-Strategy (UCB),-0.006374631433200384
2016-08-03,Bandit Meta-Strategy (UCB),-0.0030631087112439337
2016-08-04,Bandit Meta-Strategy (UCB),0.002844753686841228
2016-08-05,Bandit Meta-Strategy (UCB),0.009397417380560436
2016-08-08,Bandit Meta-Strategy (UCB),-0.002833251732094033
2016-08-09,Bandit Meta-Strategy (UCB),0.0011715554001683337
2016-08-10,Bandit Meta-Strategy (UCB),-0.002735256845188938
2016-08-11,Bandit Meta-Strategy (UCB),0.004575879225229729
2016-08-12,Bandit Meta-Strategy (UCB),0.0052134470198961225
2016-08-15,Bandit Meta-Strategy (UCB),-0.000938134268373858
2016-08-16,Bandit Meta-Strategy (UCB),-0.0063952680207286505
2016-08-17,Bandit Meta-Strategy (UCB),0.0020982486024285762
2016-08-18,Bandit Meta-Strategy (UCB),0.0028633711454533195
2016-08-19,Bandit Meta-Strategy (UCB),-0.004739015282232417
2016-08-22,Bandit Meta-Strategy (UCB),-0.002113093779246067
2016-08-23,Bandit Meta-Strategy (UCB),0.0025634484544148073
2016-08-24,Bandit Meta-Strategy (UCB),-0.004157788828142439
2016-08-25,Bandit Meta-Strategy (UCB),-0.0012211049905277438
2016-08-26,Bandit Meta-Strategy (UCB),0.0015082239799768526
2016-08-29,Bandit Meta-Strategy (UCB),0.003769349556673296
2016-08-30,Bandit Meta-Strategy (UCB),-0.0030547179745061825
2016-08-31,Bandit Meta-Strategy (UCB),-0.0010031306397390027
2016-09-01,Bandit Meta-Strategy (UCB),0.0030800560127541843
2016-09-02,Bandit Meta-Strategy (UCB),0.001129231557605248
2016-09-06,Bandit Meta-Strategy (UCB),0.00694258989425145
2016-09-07,Bandit Meta-Strategy (UCB),-0.003964277520083437
2016-09-08,Bandit Meta-Strategy (UCB),-0.0007000761985778148
2016-09-09,Bandit Meta-Strategy (UCB),-0.022934826407169817
2016-09-12,Bandit Meta-Strategy (UCB),0.016695380785330727
2016-09-13,Bandit Meta-Strategy (UCB),-0.014227742179553138
2016-09-14,Bandit Meta-Strategy (UCB),0.0007710362425468187
2016-09-15,Bandit Meta-Strategy (UCB),0.010939794730763008
2016-09-16,Bandit Meta-Strategy (UCB),-8.686610567654185e-05
2016-09-19,Bandit Meta-Strategy (UCB),-0.00226632190056153
2016-09-20,Bandit Meta-Strategy (UCB),0.0005420657546988394
2016-09-21,Bandit Meta-Strategy (UCB),0.0056034877987765075
2016-09-22,Bandit Meta-Strategy (UCB),0.005248052225930833
2016-09-23,Bandit Meta-Strategy (UCB),-0.0032051294016653964
2016-09-26,Bandit Meta-Strategy (UCB),-0.010926697657054452
2016-09-27,Bandit Meta-Strategy (UCB),0.01174946214248851
2016-09-28,Bandit Meta-Strategy (UCB),0.0040393356121346535
2016-09-29,Bandit Meta-Strategy (UCB),-0.009872850993844717
2016-09-30,Bandit Meta-Strategy (UCB),0.012868285876667773
2016-10-03,Bandit Meta-Strategy (UCB),0.0015897123372128341
2016-10-04,Bandit Meta-Strategy (UCB),-0.0019527072966052383
2016-10-05,Bandit Meta-Strategy (UCB),0.005492291897661872
2016-10-06,Bandit Meta-Strategy (UCB),-0.005843539182628921
2016-10-07,Bandit Meta-Strategy (UCB),-0.002815189796979145
2016-10-10,Bandit Meta-Strategy (UCB),0.0023393047013571255
2016-10-11,Bandit Meta-Strategy (UCB),-0.011457842038641086
2016-10-12,Bandit Meta-Strategy (UCB),0.0006618495461541141
2016-10-13,Bandit Meta-Strategy (UCB),-0.0034198821600497364
