Strategy,Approach,Total_Return_%,Annual_Return_%,Sharpe_Ratio,Max_Drawdown_%,Volatility_%,Win_Rate_%,Avg_Turnover_%,Total_Costs_$,Final_Value_$
Equal Weight,Soft (5%),76.09621960957607,12.002610850611827,0.580515565550363,-39.81937124463961,20.67577781352451,52.22575516693164,8.235960306458207,263.68088604302926,176096.21960957607
Equal Weight,Hard (Always),110.67344374769839,16.09803133043193,0.836423012314824,-34.639000469027835,19.246279805095483,51.669316375198726,16.33236563120215,666.3721244170961,210673.4437476984
Momentum Top-10,Soft (5%),44.053423123773136,7.585841599923859,0.5160404265676354,-16.93799298006985,14.700091716418292,47.2972972972973,88.68027978431003,3352.637310504857,144053.42312377313
Momentum Top-10,Hard (Always),44.56039886058789,7.661582129892919,0.5214929640273864,-16.915245690118518,14.691630872110034,47.37678855325914,88.7700061581296,3364.3314633032605,144560.39886058788
Risk Parity,Soft (5%),44.289525204472135,7.6211409598617275,0.4097046204428161,-40.030116191111986,18.601549944993693,52.861685214626384,6.565679272179873,203.902641306524,144289.52520447213
Risk Parity,Hard (Always),82.7037438375202,12.832111609938579,0.7900964200000282,-26.752163394468663,16.241197004712564,52.38473767885533,16.36754434906861,660.4659115883414,182703.7438375202
