date,strategy,asset,weight
2015-12-02,Bandit Meta-Strategy (EXP3),GOOGL,0.05070652846020527
2015-12-02,Bandit Meta-Strategy (EXP3),HD,0.04970270667000634
2015-12-02,Bandit Meta-Strategy (EXP3),JNJ,0.05012657659434895
2015-12-02,Bandit Meta-Strategy (EXP3),JPM,0.04971379200838369
2015-12-02,Bandit Meta-Strategy (EXP3),KO,0.049903726552275374
2015-12-02,Bandit Meta-Strategy (EXP3),MA,0.04931227033911376
2015-12-02,Bandit Meta-Strategy (EXP3),META,0.05060172696771715
2015-12-02,Bandit Meta-Strategy (EXP3),MSFT,0.05051558323218192
2015-12-02,Bandit Meta-Strategy (EXP3),NFLX,0.051986720795501574
2015-12-02,Bandit Meta-Strategy (EXP3),NVDA,0.05095154471060362
2015-12-02,Bandit Meta-Strategy (EXP3),PFE,0.049925983560432284
2015-12-02,Bandit Meta-Strategy (EXP3),PG,0.05035995125400652
2015-12-02,Bandit Meta-Strategy (EXP3),TSLA,0.05010228861483363
2015-12-02,Bandit Meta-Strategy (EXP3),V,0.049747589566787535
2015-12-02,Bandit Meta-Strategy (EXP3),WMT,0.04931466726916585
2015-12-02,Bandit Meta-Strategy (EXP3),XOM,0.04844377531921422
2015-12-02,Bandit Meta-Strategy (Thompson Sampling),AAPL,0.04887957839471017
2015-12-02,Bandit Meta-Strategy (Thompson Sampling),AMZN,0.05056725123786153
2015-12-02,Bandit Meta-Strategy (Thompson Sampling),BAC,0.050270787640482824
2015-12-02,Bandit Meta-Strategy (Thompson Sampling),CASH,-0.0010940315680260807
2015-12-02,Bandit Meta-Strategy (Thompson Sampling),DIS,0.049960982380193884
2015-12-02,Bandit Meta-Strategy (Thompson Sampling),GOOGL,0.05070652846020527
2015-12-02,Bandit Meta-Strategy (Thompson Sampling),HD,0.04970270667000634
2015-12-02,Bandit Meta-Strategy (Thompson Sampling),JNJ,0.05012657659434895
2015-12-02,Bandit Meta-Strategy (Thompson Sampling),JPM,0.04971379200838369
2015-12-02,Bandit Meta-Strategy (Thompson Sampling),KO,0.049903726552275374
2015-12-02,Bandit Meta-Strategy (Thompson Sampling),MA,0.04931227033911376
2015-12-02,Bandit Meta-Strategy (Thompson Sampling),META,0.05060172696771715
2015-12-02,Bandit Meta-Strategy (Thompson Sampling),MSFT,0.05051558323218192
2015-12-02,Bandit Meta-Strategy (Thompson Sampling),NFLX,0.051986720795501574
2015-12-02,Bandit Meta-Strategy (Thompson Sampling),NVDA,0.05095154471060362
2015-12-02,Bandit Meta-Strategy (Thompson Sampling),PFE,0.049925983560432284
2015-12-02,Bandit Meta-Strategy (Thompson Sampling),PG,0.05035995125400652
2015-12-02,Bandit Meta-Strategy (Thompson Sampling),TSLA,0.05010228861483363
2015-12-02,Bandit Meta-Strategy (Thompson Sampling),V,0.049747589566787535
2015-12-02,Bandit Meta-Strategy (Thompson Sampling),WMT,0.04931466726916585
2015-12-02,Bandit Meta-Strategy (Thompson Sampling),XOM,0.04844377531921422
2015-12-02,Bandit Meta-Strategy (UCB),AAPL,0.04887957839471017
2015-12-02,Bandit Meta-Strategy (UCB),AMZN,0.05056725123786153
2015-12-02,Bandit Meta-Strategy (UCB),BAC,0.050270787640482824
2015-12-02,Bandit Meta-Strategy (UCB),CASH,-0.0010940315680260807
2015-12-02,Bandit Meta-Strategy (UCB),DIS,0.049960982380193884
2015-12-02,Bandit Meta-Strategy (UCB),GOOGL,0.05070652846020527
2015-12-02,Bandit Meta-Strategy (UCB),HD,0.04970270667000634
2015-12-02,Bandit Meta-Strategy (UCB),JNJ,0.05012657659434895
2015-12-02,Bandit Meta-Strategy (UCB),JPM,0.04971379200838369
2015-12-02,Bandit Meta-Strategy (UCB),KO,0.049903726552275374
2015-12-02,Bandit Meta-Strategy (UCB),MA,0.04931227033911376
2015-12-02,Bandit Meta-Strategy (UCB),META,0.05060172696771715
2015-12-02,Bandit Meta-Strategy (UCB),MSFT,0.05051558323218192
2015-12-02,Bandit Meta-Strategy (UCB),NFLX,0.051986720795501574
2015-12-02,Bandit Meta-Strategy (UCB),NVDA,0.05095154471060362
2015-12-02,Bandit Meta-Strategy (UCB),PFE,0.049925983560432284
2015-12-02,Bandit Meta-Strategy (UCB),PG,0.05035995125400652
2015-12-02,Bandit Meta-Strategy (UCB),TSLA,0.05010228861483363
2015-12-02,Bandit Meta-Strategy (UCB),V,0.049747589566787535
2015-12-02,Bandit Meta-Strategy (UCB),WMT,0.04931466726916585
2015-12-02,Bandit Meta-Strategy (UCB),XOM,0.04844377531921422
2015-12-03,Bandit Meta-Strategy (EXP3),AAPL,0.048956821660901866
2015-12-03,Bandit Meta-Strategy (EXP3),AMZN,0.05038388962604962
2015-12-03,Bandit Meta-Strategy (EXP3),BAC,0.04989927051608475
2015-12-03,Bandit Meta-Strategy (EXP3),CASH,-0.0011060331949189512
2015-12-03,Bandit Meta-Strategy (EXP3),DIS,0.049574198298101
2015-12-03,Bandit Meta-Strategy (EXP3),GOOGL,0.050626818112505044
2015-12-03,Bandit Meta-Strategy (EXP3),HD,0.049166460538181515
2015-12-03,Bandit Meta-Strategy (EXP3),JNJ,0.05005077301276943
2015-12-03,Bandit Meta-Strategy (EXP3),JPM,0.04961074891317212
2015-12-03,Bandit Meta-Strategy (EXP3),KO,0.050085501318479025
2015-12-03,Bandit Meta-Strategy (EXP3),MA,0.049267929935579394
2015-12-03,Bandit Meta-Strategy (EXP3),META,0.05034175717123079
2015-12-03,Bandit Meta-Strategy (EXP3),MSFT,0.05013548479100708
2015-12-03,Bandit Meta-Strategy (EXP3),NFLX,0.05169282318969513
2015-12-03,Bandit Meta-Strategy (EXP3),NVDA,0.05139954217474148
2015-12-03,Bandit Meta-Strategy (EXP3),PFE,0.04969141091733614
2015-12-03,Bandit Meta-Strategy (EXP3),PG,0.05087881673823026
2015-12-03,Bandit Meta-Strategy (EXP3),TSLA,0.050809117906179195
2015-12-03,Bandit Meta-Strategy (EXP3),V,0.049816098554961226
2015-12-03,Bandit Meta-Strategy (EXP3),WMT,0.05044520642070097
2015-12-03,Bandit Meta-Strategy (EXP3),XOM,0.04827336339901307
2015-12-03,Bandit Meta-Strategy (Thompson Sampling),AAPL,0.048956821660901866
2015-12-03,Bandit Meta-Strategy (Thompson Sampling),AMZN,0.05038388962604962
2015-12-03,Bandit Meta-Strategy (Thompson Sampling),BAC,0.04989927051608475
2015-12-03,Bandit Meta-Strategy (Thompson Sampling),CASH,-0.0011060331949189512
2015-12-03,Bandit Meta-Strategy (Thompson Sampling),DIS,0.049574198298101
2015-12-03,Bandit Meta-Strategy (Thompson Sampling),GOOGL,0.050626818112505044
2015-12-03,Bandit Meta-Strategy (Thompson Sampling),HD,0.049166460538181515
2015-12-03,Bandit Meta-Strategy (Thompson Sampling),JNJ,0.05005077301276943
2015-12-03,Bandit Meta-Strategy (Thompson Sampling),JPM,0.04961074891317212
2015-12-03,Bandit Meta-Strategy (Thompson Sampling),KO,0.050085501318479025
2015-12-03,Bandit Meta-Strategy (Thompson Sampling),MA,0.049267929935579394
2015-12-03,Bandit Meta-Strategy (Thompson Sampling),META,0.05034175717123079
2015-12-03,Bandit Meta-Strategy (Thompson Sampling),MSFT,0.05013548479100708
2015-12-03,Bandit Meta-Strategy (Thompson Sampling),NFLX,0.05169282318969513
2015-12-03,Bandit Meta-Strategy (Thompson Sampling),NVDA,0.05139954217474148
2015-12-03,Bandit Meta-Strategy (Thompson Sampling),PFE,0.04969141091733614
2015-12-03,Bandit Meta-Strategy (Thompson Sampling),PG,0.05087881673823026
2015-12-03,Bandit Meta-Strategy (Thompson Sampling),TSLA,0.050809117906179195
2015-12-03,Bandit Meta-Strategy (Thompson Sampling),V,0.049816098554961226
2015-12-03,Bandit Meta-Strategy (Thompson Sampling),WMT,0.05044520642070097
2015-12-03,Bandit Meta-Strategy (Thompson Sampling),XOM,0.04827336339901307
2015-12-03,Bandit Meta-Strategy (UCB),AAPL,0.048956821660901866
2015-12-03,Bandit Meta-Strategy (UCB),AMZN,0.05038388962604962
2015-12-03,Bandit Meta-Strategy (UCB),BAC,0.04989927051608475
